ID,col,number,sex,infection,treatment,aquarium,L0,L50,L70,W0,W50,W70,dominance
1,r,1,M,1,P,1,72,79,78,3.5,4.8,4.2,0
2,r,2,F,1,P,2,73,87,88,3.8,6.3,6.6,0
3,r,3,M,1,P,3,71,78,80,3.6,4.4,5,0
4,r,4,F,1,P,4,71,87,89,3.7,7.4,7.8,0
5,r,5,F,1,P,5,73,72,72,4.1,3.3,3.2,0
11,r,11,M,0,C,1,71,99,107,4,11.7,14.2,1
12,r,12,M,0,C,2,72,86,89,3.7,6.2,6.6,0
13,r,13,F,0,C,3,73,97,101,4,9.6,10.3,1
14,r,14,M,0,C,4,71,78,87,3.6,5.1,7,0
15,r,15,M,0,C,5,70,82,91,3.4,6,7.9,0
16,p,1,M,1,P,1,70,78,82,4,5,5.9,0
17,p,2,M,1,P,2,72,85,86,3.9,6.4,6.3,0
18,p,3,M,1,P,3,69,75,77,3.2,4,4.5,0
19,p,4,F,1,P,4,70,97,99,3.9,9.6,10.3,1
20,p,5,M,1,P,5,71,72,75,3.6,3.5,4.1,0
26,p,11,M,0,C,1,69,84,92,3.4,6.4,7.9,0
27,p,12,M,0,C,2,72,88,94,4,7.1,8.1,0
28,p,13,F,0,C,3,72,85,93,3.7,6.8,8.7,1
29,p,14,F,0,C,4,70,78,84,3,4.5,5.8,0
30,p,15,M,0,C,5,71,87,94,3.6,7.2,8.5,0
31,o,1,M,1,P,1,73,82,84,4.1,5.9,5.9,0
32,o,2,F,1,P,2,73,95,97,4.2,9.2,9.6,1
33,o,3,M,1,P,3,71,88,92,3.9,7,8.4,1
34,o,4,F,1,P,4,73,88,90,3.9,6.7,7,0
35,o,5,F,1,P,5,74,80,85,4.7,6,7.5,0
41,o,11,F,0,C,1,69,67,75,3.2,3.4,4.6,0
42,o,12,F,0,C,2,71,89,93,3.8,7,8.1,0
43,o,13,M,0,C,3,73,91,95,3.4,7.1,8.1,0
44,o,14,M,0,C,4,72,95,99,4,9,10.1,1
45,o,15,F,0,C,5,72,98,102,4,10.5,11.5,1
46,y,1,M,1,P,1,74,79,79,4.2,4.8,4.5,0
47,y,2,M,1,P,2,73,87,88,4,7.3,6.9,0
48,y,3,F,1,P,3,72,102,105,3.6,10.4,11.5,1
49,y,4,F,1,P,4,70,82,89,3,5.7,7.1,0
50,y,5,F,1,P,5,71,76,78,3.5,3.7,4.4,0
56,y,11,M,0,C,1,71,78,86,3.7,5.3,6.6,0
57,y,12,F,0,C,2,72,88,94,3.5,6.5,7.7,0
58,y,13,F,0,C,3,73,90,95,4.2,8.2,9,0
59,y,14,M,0,C,4,72,88,98,3.8,7.4,9.8,0
60,y,15,M,0,C,5,73,86,97,4.3,7.9,10.5,0
61,g,1,M,1,P,1,72,97,98,4,9.8,10.5,1
62,g,2,M,1,P,2,70,90,90,3.8,7.6,6.9,0
63,g,3,F,1,P,3,73,80,83,4,5.4,6,0
64,g,4,M,1,P,4,75,87,89,4.2,7,7,0
65,g,5,F,1,P,5,74,77,79,4.3,4.4,5.3,0
71,g,11,M,0,C,1,70,83,92,3.5,6.2,7.9,0
72,g,12,M,0,C,2,71,88,92,4,7.5,7.9,0
73,g,13,F,0,C,3,73,94,98,3.6,7.9,9.1,0
74,g,14,F,0,C,4,70,84,86,3.1,5.7,5.5,0
75,g,15,M,0,C,5,75,86,92,4.3,6.7,7.6,0
76,b,1,F,1,P,1,72,89,90,4.3,7.9,8.1,1
77,b,2,F,1,P,2,72,83,79,3.6,5.3,4.5,0
78,b,3,M,1,P,3,72,81,85,3.8,5.1,6.3,0
79,b,4,M,1,P,4,72,90,92,4.3,7.7,7.6,1
80,b,5,M,1,P,5,71,88,95,3.6,7,9.9,1
86,b,11,M,0,C,1,70,86,97,3.9,7.5,10.3,1
87,b,12,M,0,C,2,71,96,99,3.9,9.7,10.5,1
88,b,13,F,0,C,3,73,89,94,4.1,7.7,8.9,0
89,b,14,M,0,C,4,72,83,87,4.2,6.5,7.4,0
90,b,15,F,0,C,5,72,96,106,4.1,10.2,12.6,1
